game_id,time_elapsed,lead_diff,home_win,N_window,n_window,prior,alpha,beta,win_prob
401851183,279,-3,1,12480,6936,,1,1,0.5557602948245474
401851183,280,-3,1,12444,6926,,1,1,0.5565643580266753
401851183,281,-3,1,12424,6923,,1,1,0.5572187349106712
401851183,282,-3,1,12415,6916,,1,1,0.5570588709027946
401851183,283,-3,1,12423,6915,,1,1,0.5566197183098591
401851183,284,-3,1,12431,6907,,1,1,0.5556181130861417
401851183,285,-3,1,12439,6888,,1,1,0.55373362269914
401851183,286,-3,1,12438,6858,,1,1,0.5513665594855306
401851183,287,-3,1,12420,6814,,1,1,0.5486234100788923
401851183,288,-3,1,12397,6769,,1,1,0.5460117751431567
401851183,289,-3,1,12364,6730,,1,1,0.5443150574154941
401851183,290,-3,1,12329,6695,,1,1,0.5430216527451139
401851183,291,-3,1,12307,6671,,1,1,0.5420424079941506
401851183,292,-3,1,12295,6664,,1,1,0.5420021143368301
401851183,293,-3,1,12290,6668,,1,1,0.5425479986983404
401851183,294,-3,1,12292,6679,,1,1,0.5433544818610705
401851183,295,-3,1,12290,6683,,1,1,0.5437683045883501
401851183,296,-3,1,12283,6680,,1,1,0.5438339438339438
401851183,297,-3,1,12275,6673,,1,1,0.5436181477559664
401851183,298,-3,1,12262,6660,,1,1,0.5431343770384867
401851183,299,-3,1,12262,6652,,1,1,0.5424820613176777
401851183,300,-3,1,12255,6640,,1,1,0.541812841641511
401851183,301,-3,1,12253,6635,,1,1,0.5414932680538556
401851183,302,-3,1,12248,6633,,1,1,0.5415510204081633
401851183,303,-3,1,12258,6639,,1,1,0.5415986949429038
401851183,304,-3,1,12271,6652,,1,1,0.5420842499796301
401851183,305,-3,1,12271,6660,,1,1,0.5427360873462072
401851183,306,-3,1,12258,6662,,1,1,0.5434747145187602
401851183,307,-3,1,12259,6672,,1,1,0.5442459831987603
401851183,308,-3,1,12256,6678,,1,1,0.544868657203459
401851183,309,-3,1,12253,6683,,1,1,0.5454100367197062
401851183,310,-3,1,12234,6682,,1,1,0.5461752206603465
401851183,311,-3,1,12206,6677,,1,1,0.5470183486238532
401851183,312,-3,1,12194,6685,,1,1,0.5482125286979338
401851183,313,-3,1,12183,6692,,1,1,0.5492819039803036
401851183,314,-3,1,12169,6700,,1,1,0.5505710294963437
401851183,315,-3,1,12156,6709,,1,1,0.551899983549926
401851183,316,-3,1,12142,6719,,1,1,0.5533596837944664
401851183,317,-3,1,12126,6721,,1,1,0.554254617414248
401851183,318,-3,1,12108,6715,,1,1,0.5545829892650702
401851183,319,-3,1,12086,6707,,1,1,0.5549305095962939
401851183,320,-3,1,12051,6690,,1,1,0.5551315025304904
401851183,321,-3,1,12010,6667,,1,1,0.5551115551115551
401851183,322,-3,1,11976,6643,,1,1,0.5546835865753882
401851183,323,-3,1,11953,6623,,1,1,0.554077791718946
401851183,324,-3,1,11941,6615,,1,1,0.5539646654944319
401851183,325,-3,1,11932,6609,,1,1,0.5538796715267303
401851183,326,-6,1,6732,3019,,1,1,0.4484704484704485
401851183,327,-6,1,6763,3033,,1,1,0.4484848484848485
401851183,328,-6,1,6783,3041,,1,1,0.4483419307295505
401851183,329,-6,1,6799,3048,,1,1,0.448316424055286
401851183,330,-6,1,6815,3059,,1,1,0.4488778054862843
401851183,331,-6,1,6829,3072,,1,1,0.4498609281217977
401851183,332,-6,1,6838,3081,,1,1,0.4505847953216374
401851183,333,-6,1,6841,3087,,1,1,0.45126406546836184
401851183,334,-6,1,6836,3087,,1,1,0.4515940333430828
401851183,335,-6,1,6829,3082,,1,1,0.4513248426291905
401851183,336,-6,1,6829,3085,,1,1,0.4517640169814083
401851183,337,-6,1,6830,3090,,1,1,0.45242974238875877
401851183,338,-6,1,6833,3091,,1,1,0.45237746891002195
401851183,339,-6,1,6833,3089,,1,1,0.4520848573518654
401851183,340,-6,1,6830,3087,,1,1,0.4519906323185012
401851183,341,-6,1,6834,3089,,1,1,0.45201872440023405
401851183,342,-6,1,6842,3093,,1,1,0.4520748100526008
401851183,343,-6,1,6836,3084,,1,1,0.4511553085697572
401851183,344,-6,1,6823,3069,,1,1,0.44981684981684983
401851183,345,-6,1,6806,3053,,1,1,0.44858989424206813
401851183,346,-6,1,6792,3039,,1,1,0.44745363556078893
401851183,347,-6,1,6785,3030,,1,1,0.4465890673346103
401851183,348,-6,1,6768,3014,,1,1,0.44534711964549484
401851183,349,-6,1,6755,3003,,1,1,0.44457599526417046
401851183,350,-6,1,6752,2997,,1,1,0.44388510512289014
401851183,351,-6,1,6758,2997,,1,1,0.44349112426035503
401851183,352,-6,1,6771,3005,,1,1,0.4438210541857375
401851183,353,-6,1,6781,3011,,1,1,0.44405130473241927
401851183,354,-6,1,6789,3014,,1,1,0.4439699602414961
401851183,355,-6,1,6797,3022,,1,1,0.4446242094425651
401851183,356,-6,1,6794,3023,,1,1,0.44496762801648027
401851183,357,-6,1,6791,3028,,1,1,0.4459001913734727
401851183,358,-6,1,6794,3033,,1,1,0.4464390818128311
401851183,359,-6,1,6800,3040,,1,1,0.4470743898853278
401851183,360,-6,1,6811,3050,,1,1,0.4478203434610304
401851183,361,-6,1,6824,3057,,1,1,0.4479929680632874
401851183,362,-6,1,6837,3059,,1,1,0.4474338353560462
401851183,363,-6,1,6852,3061,,1,1,0.4467464254449956
401851183,364,-6,1,6866,3057,,1,1,0.4452533488642982
401851183,365,-6,1,6867,3050,,1,1,0.44416945698063764
401851183,366,-6,1,6859,3034,,1,1,0.44235534178691155
401851183,367,-6,1,6848,3020,,1,1,0.441021897810219
401851183,368,-6,1,6834,3004,,1,1,0.4395845523698069
401851183,369,-6,1,6819,2999,,1,1,0.4398182084738308
401851183,370,-6,1,6804,2997,,1,1,0.4404936820452542
401851183,371,-6,1,6784,2997,,1,1,0.4417919245505452
401851183,372,-6,1,6772,2992,,1,1,0.4418364334219073
401851183,373,-3,1,11674,6465,,1,1,0.553785542994176
401851183,374,-3,1,11680,6478,,1,1,0.5546139359698682
401851183,375,-3,1,11673,6484,,1,1,0.5554603854389721
401851183,376,-3,1,11675,6495,,1,1,0.5563072707030915
401851183,377,-3,1,11671,6495,,1,1,0.5564979011393815
401851183,378,-3,1,11658,6485,,1,1,0.5562607204116639
401851183,379,-3,1,11649,6474,,1,1,0.5557462878722856
401851183,380,-3,1,11615,6444,,1,1,0.5547903933889988
401851183,381,-3,1,11593,6422,,1,1,0.5539456662354463
401851183,382,-3,1,11571,6397,,1,1,0.5528385034131167
401851183,383,-3,1,11547,6367,,1,1,0.5513897307126158
401851183,384,-3,1,11515,6334,,1,1,0.5500564383085873
401851183,385,-3,1,11498,6312,,1,1,0.5489565217391305
401851183,386,-3,1,11469,6290,,1,1,0.5484264667422195
401851183,387,-3,1,11456,6279,,1,1,0.5480886716704486
401851183,388,-3,1,11443,6264,,1,1,0.5474006116207951
401851183,389,-3,1,11437,6258,,1,1,0.5471632135676195
401851183,390,-3,1,11430,6251,,1,1,0.5468859342197341
401851183,391,-3,1,11420,6243,,1,1,0.5466643319908948
401851183,392,-3,1,11395,6222,,1,1,0.5460208826884267
401851183,393,-3,1,11374,6201,,1,1,0.545182841068917
401851183,394,-3,1,11339,6172,,1,1,0.5443082620580195
401851183,395,-3,1,11299,6144,,1,1,0.5437571896292364
401851183,396,-1,1,13228,8032,,1,1,0.6071806500377929
401851183,397,-1,1,13213,8028,,1,1,0.6075671585319713
401851183,398,-1,1,13196,8022,,1,1,0.6078951356266101
401851183,399,-1,1,13174,8019,,1,1,0.608682452944748
401851183,400,-1,1,13152,8016,,1,1,0.6094724038315341
401851183,401,-1,1,13130,8010,,1,1,0.6100365519342065
401851183,402,-1,1,13107,8007,,1,1,0.6108780227324738
401851183,403,-1,1,13094,8008,,1,1,0.6115607819181429
401851183,404,-1,1,13076,7999,,1,1,0.6117143294081664
401851183,405,-1,1,13076,8003,,1,1,0.6120201865728705
401851183,406,-1,1,13078,8009,,1,1,0.6123853211009175
401851183,407,-1,1,13081,8011,,1,1,0.6123977680960024
401851183,408,-1,1,13094,8025,,1,1,0.6128588882101405
401851183,409,-1,1,13100,8039,,1,1,0.6136467714852695
401851183,410,-1,1,13101,8048,,1,1,0.6142868045485766
401851183,411,-1,1,13096,8057,,1,1,0.6152084287677508
401851183,412,-1,1,13081,8059,,1,1,0.616066651379653
401851183,413,-3,1,11317,6167,,1,1,0.5449244632918102
401851183,414,-3,1,11284,6143,,1,1,0.5443912812333865
401851183,415,-3,1,11274,6129,,1,1,0.5436324937921249
401851183,416,-3,1,11254,6108,,1,1,0.5427327647476902
401851183,417,-3,1,11218,6076,,1,1,0.5416221033868093
401851183,418,-3,1,11195,6051,,1,1,0.540501920157185
401851183,419,-3,1,11182,6030,,1,1,0.5392525035765379
401851183,420,-3,1,11174,6012,,1,1,0.5380279169649248
401851183,421,-3,1,11174,6001,,1,1,0.5370436649964209
401851183,422,-3,1,11177,5999,,1,1,0.5367206369084891
401851183,423,-3,1,11189,6002,,1,1,0.5364131891698687
401851183,424,-3,1,11211,6012,,1,1,0.536252563988228
401851183,425,-3,1,11217,6013,,1,1,0.5360549068544433
401851183,426,-3,1,11218,6012,,1,1,0.5359180035650624
401851183,427,-3,1,11217,6008,,1,1,0.5356092343346109
401851183,428,-3,1,11203,5989,,1,1,0.5345827755466309
401851183,429,-1,1,12850,7965,,1,1,0.6198257080610022
401851183,430,-1,1,12834,7957,,1,1,0.6199750701153007
401851183,431,-1,1,12815,7941,,1,1,0.6196457829445268
